Termino:                                                    TF: 9870   DF: 315
Termino: "+args                                             TF: 8      DF: 4
Termino: "+img+"                                            TF: 1      DF: 1
Termino: "+items.mes+                                       TF: 1      DF: 1
Termino: "+selobj.options                                   TF: 2      DF: 2
Termino: ">                                                 TF: 4      DF: 2
Termino: "><                                                TF: 1      DF: 1
Termino: "><img                                             TF: 2      DF: 1
Termino: "subsubs                                           TF: 2      DF: 2
Termino: #                                                  TF: 188    DF: 57
Termino: #'+sub                                             TF: 3      DF: 1
Termino: #000000                                            TF: 418    DF: 9
Termino: #000066                                            TF: 6      DF: 1
Termino: #000079                                            TF: 1      DF: 1
Termino: #000099                                            TF: 1      DF: 1
Termino: #0000ad                                            TF: 1      DF: 1
Termino: #0000cc                                            TF: 6      DF: 1
Termino: #00458b                                            TF: 1      DF: 1
Termino: #004691                                            TF: 1      DF: 1
Termino: #004993                                            TF: 1      DF: 1
Termino: #006699                                            TF: 7      DF: 1
Termino: #006b84                                            TF: 1      DF: 1
Termino: #0079ae                                            TF: 1      DF: 1
Termino: #008c7d                                            TF: 1      DF: 1
Termino: #009383                                            TF: 1      DF: 1
Termino: #009966                                            TF: 1      DF: 1
Termino: #00af73                                            TF: 1      DF: 1
Termino: #1                                                 TF: 1      DF: 1
Termino: #108                                               TF: 1      DF: 1
Termino: #111111                                            TF: 1      DF: 1
Termino: #244662                                            TF: 1      DF: 1
Termino: #300                                               TF: 1      DF: 1
Termino: #333333                                            TF: 14     DF: 2
Termino: #3366cc                                            TF: 18     DF: 1
Termino: #3399ff                                            TF: 18     DF: 1
Termino: #36405c                                            TF: 1      DF: 1
Termino: #4573ce                                            TF: 1      DF: 1
Termino: #495678                                            TF: 1      DF: 1
Termino: #4fadb2                                            TF: 1      DF: 1
Termino: #548558                                            TF: 1      DF: 1
Termino: #555555                                            TF: 12     DF: 1
Termino: #58564a                                            TF: 46     DF: 1
Termino: #642a19                                            TF: 1      DF: 1
Termino: #6471a8                                            TF: 2      DF: 1
Termino: #666666                                            TF: 12     DF: 2
Termino: #666699                                            TF: 1      DF: 1
Termino: #6666ff                                            TF: 2      DF: 1
Termino: #6699ff                                            TF: 1      DF: 1
Termino: #7286a2                                            TF: 1      DF: 1
Termino: #7498cc                                            TF: 6      DF: 1
Termino: #777777                                            TF: 18     DF: 2
Termino: #7e9ecd                                            TF: 1      DF: 1
Termino: #7f7f7f                                            TF: 11     DF: 1
Termino: #887250                                            TF: 1      DF: 1
Termino: #999999                                            TF: 83     DF: 6
Termino: #aab4dc                                            TF: 12     DF: 1
Termino: #aac3dd                                            TF: 10     DF: 1
Termino: #accordion                                         TF: 2      DF: 1
Termino: #b09829                                            TF: 1      DF: 1
Termino: #b1b28a                                            TF: 4      DF: 1
Termino: #b5bed6                                            TF: 2      DF: 1
Termino: #b6d0ea                                            TF: 3      DF: 2
Termino: #bannerinfo                                        TF: 2      DF: 1
Termino: #bbbfb1                                            TF: 153    DF: 1
Termino: #box2                                              TF: 2      DF: 1
Termino: #box8                                              TF: 2      DF: 1
Termino: #calendar_show                                     TF: 1      DF: 1
Termino: #calendar_wrap                                     TF: 2      DF: 1
Termino: #calendario                                        TF: 8      DF: 1
Termino: #cargando                                          TF: 3      DF: 1
Termino: #carrusel                                          TF: 1      DF: 1
Termino: #ccc                                               TF: 2      DF: 2
Termino: #cccccc                                            TF: 238    DF: 2
Termino: #cfb53f                                            TF: 1      DF: 1
Termino: #coding                                            TF: 3      DF: 1
Termino: #contenedor                                        TF: 6      DF: 1
Termino: #d2e8ff                                            TF: 3      DF: 1
Termino: #d6793e                                            TF: 1      DF: 1
Termino: #d6f2f9                                            TF: 7      DF: 1
Termino: #d7d889                                            TF: 3      DF: 2
Termino: #datepicker                                        TF: 1      DF: 1
Termino: #dd3177                                            TF: 1      DF: 1
Termino: #dialog_link                                       TF: 1      DF: 1
Termino: #divcargando                                       TF: 6      DF: 1
Termino: #dock                                              TF: 4      DF: 1
Termino: #dock2                                             TF: 4      DF: 1
Termino: #document                                          TF: 10     DF: 1
Termino: #e27719                                            TF: 2      DF: 1
Termino: #e2e0d8                                            TF: 1      DF: 1
Termino: #e3a836                                            TF: 1      DF: 1
Termino: #e5e5e5                                            TF: 6      DF: 1
Termino: #e6eff9                                            TF: 1      DF: 1
Termino: #e8e8d9                                            TF: 2      DF: 1
Termino: #ec_loadingpane                                    TF: 2      DF: 1
Termino: #ec_nextmonth                                      TF: 1      DF: 1
Termino: #ec_previousmonth                                  TF: 1      DF: 1
Termino: #eeede8                                            TF: 2      DF: 1
Termino: #events                                            TF: 9      DF: 1
Termino: #f6f6ea                                            TF: 6      DF: 1
Termino: #f7efdb                                            TF: 8      DF: 1
Termino: #f_email                                           TF: 3      DF: 1
Termino: #f_secs                                            TF: 3      DF: 1
Termino: #ff9900                                            TF: 4      DF: 1
Termino: #ff9933                                            TF: 3      DF: 1
Termino: #ff9999                                            TF: 1      DF: 1
Termino: #ffc875                                            TF: 2      DF: 1
Termino: #fff                                               TF: 34     DF: 5
Termino: #ffffcc'var                                        TF: 1      DF: 1
Termino: #fffff7                                            TF: 6      DF: 1
Termino: #ffffff                                            TF: 182    DF: 16
Termino: #fields_all                                        TF: 1      DF: 1
Termino: #formu_subs                                        TF: 9      DF: 1
Termino: #foto                                              TF: 1      DF: 1
Termino: #galleria                                          TF: 1      DF: 1
Termino: #gral                                              TF: 1      DF: 1
Termino: #h1                                                TF: 2      DF: 2
Termino: #h_email                                           TF: 3      DF: 1
Termino: #h_secs                                            TF: 3      DF: 1
Termino: #handles8                                          TF: 2      DF: 1
Termino: #header                                            TF: 1      DF: 1
Termino: #infocontainer                                     TF: 12     DF: 1
Termino: #jc1                                               TF: 3      DF: 3
Termino: #jc2                                               TF: 3      DF: 3
Termino: #jc3                                               TF: 3      DF: 3
Termino: #jflowslide                                        TF: 1      DF: 1
Termino: #l1                                                TF: 1      DF: 1
Termino: #l2                                                TF: 3      DF: 2
Termino: #l3                                                TF: 3      DF: 2
Termino: #l4                                                TF: 3      DF: 2
Termino: #lateral                                           TF: 1      DF: 1
Termino: #leftnav                                           TF: 4      DF: 1
Termino: #link_principal                                    TF: 4      DF: 1
Termino: #login_box                                         TF: 1      DF: 1
Termino: #logo_funsl                                        TF: 1      DF: 1
Termino: #logo_unsl                                         TF: 1      DF: 1
Termino: #m_cont_ifas                                       TF: 1      DF: 1
Termino: #m_cont_ifimat                                     TF: 1      DF: 1
Termino: #m_cont_nucompa                                    TF: 1      DF: 1
